peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      1109     14134     57725         2       200
      1125     14110      1185         1       200
      1129     14119      1220         1       200
      1137     14111      1230         1       200
      1141     14109      1250         1       200
      1149     14132      1290         1       200
      1153     14108      1300         1       200
      1145     14146    137330         2       200
      1161     14120      1260         1       200
      1157     14120     43730         2       200
      1165     14108      1325         1       200
      1173     14130      1305         1       200
      1177     14110      1320         1       200
      1169     14138    122160         2       200
      1185     14141      1290         1       200
      1189     14118     38445         2       200
      1197     14108      1290         1       200
      1201     14117     39640         2       200
      1209     14110      1255         1       200
      1205     14110      1295         1       200
      1221     14109      1300         1       200
      1225     14119     40540         2       200
      1213     14167    182250         2       200
      1217     14147      1310         1       200
      1229     14109      1305         1       200
      1233     14109      1255         1       200
      1245     14111      1350         1       200
      1241     14116      1290         1       200
      1237     14133    104320         2       200
      1249     14117     42685         2       200
      1253     14110      1340         1       200
      1257     14110      1280         1       200
      1265     14111      1270         1       200
      1269     14112      1295         1       200
      1273     14119     44050         2       200
      1281     14109      1220         1       200
      1277     14116      1215         1       200
      1285     14124     90725         2       200
      1289     14112      1245         1       200
      1293     14111      1250         1       200
      1297     14121     43015         2       200
      1301     14115      1255         1       200
      1305     14109      1250         1       200
      1313     14117      1255         1       200
      1317     14121      1310         1       200
      1309     14149    117775         2       200
      1325     14108      1275         1       200
      1321     14119     47300         2       200
      1329     14108      1280         1       200
      1333     14123     93490         2       200
      1337     14112      1305         1       200
      1341     14110      1470         1       200
      1349     14117      1530         1       200
      1353     14112      1475         1       200
      1357     14111      6940         2       200
      1361     14109      1160         1       200
      1365     14109      1200         1       200
      1369     14110      5895         2       200
      1373     14110      1230         1       200
      1377     14110      1235         1       200
      1385     14115      1230         1       200
      1389     14127      1255         1       200
      1393     14112      8620         2       200
      1381     14164    121240         2       200
      1397     14117      1265         1       200
      1401     14116      1855         1       200
      1413     14110      1185         1       200
      1409     14140      1105         1       200
      1405     14140    144510         2       200
      1421     14112      1220         1       200
      1417     14112      9965         2       200
      1425     14114      1205         1       200
      1437     14130      1270         1       200
      1433     14308      1235         1       200
      1429     14308    180015         2       200
      1445     14116      1200         1       200
      1441     14116     10235         2       200
      1449     14109      1300         1       200
      1453     14135    122240         2       200
      1457     14142      1265         1       200
      1461     14116     10950         2       200
      1465     14110      1240         1       200
      1469     14113      1330         1       200
      1473     14121     69200         2       200
      1477     14108      1260         1       200
      1481     14111      1280         1       200
      1485     14117     11215         2       200
      1489     14109      1275         1       200
      1493     14116      1335         1       200
      1497     14119     66440         2       200
      1505     14109      1295         1       200
      1501     14108      1255         1       200
      1517     14116      1485         1       200
      1525     14108      1395         1       200
      1521     14309     44625         2       200
      1529     14115      1240         1       200
      1533     14109      6895         2       200
      1537     14108      1210         1       200
      1541     14109      1230         1       200
      1549     14113      1180         1       200
      1553     14110      1195         1       200
      1545     14137    137795         2       200
      1557     14119      8225         2       200
      1561     14116      1220         1       200
      1565     14116      1250         1       200
      1573     14114      1375         1       200
      1569     14131    110655         2       200
      1577     14110      1425         1       200
      1581     14112      8410         2       200
      1585     14116      1495         1       200
      1589     14110      1310         1       200
      1593     14118     49900         2       200
      1597     14111      1220         1       200
      1601     14110      1210         1       200
      1605     14114      9815         2       200
      1609     14110      1230         1       200
      1613     14110      1210         1       200
      1621     14114      1240         1       200
      1617     14247    140975         2       200
      1625     14115      1405         1       200
      1629     14118     10135         2       200
      1633     14117      1345         1       200
      1637     14111      1160         1       200
      1641     14121     53425         2       200
      1645     14110      1145         1       200
      1649     14114      1195         1       200
      1653     14114     12565         2       200
      1657     14110      1230         1       200
      1661     14111      1250         1       200
      1673     14111      1280         1       200
      1669     14141      1260         1       200
      1665     14141    135465         2       200
      1677     14113      8735         2       200
      1681     14113      1450         1       200
      1685     14113      1355         1       200
      1689     14119     45795         2       200
      1693     14120      1230         1       200
      1697     14112      1495         1       200
      1701     14112      8760         2       200
      1705     14113      1345         1       200
      1709     14110      1295         1       200
      1717     14138      1180         1       200
      1721     14112      7615         2       200
      1713     14140    131115         2       200
      1729     14112      1210         1       200
      1725     14112      1130         1       200
      1733     14125     47885         2       200
      1737     14112      1150         1       200
      1741     14113      1225         1       200
      1745     14114      8305         2       200
      1753     14111      1210         1       200
