peer_addr = 172.16.253.11:5555
test begin!

BlockID	bct	BlockSize	Priority	Deadline
745       	     14111	      1385	         1	       200
749       	     14110	      1295	         1	       200
753       	     14119	     15605	         2	       200
757       	     14115	      1295	         1	       200
761       	     14110	      1300	         1	       200
765       	     14121	     76825	         2	       200
769       	     14117	      1310	         1	       200
773       	     14110	      1400	         1	       200
777       	     14130	    309655	         2	       200
781       	     14124	      1415	         1	       200
785       	     14110	      1255	         1	       200
789       	     14122	     79570	         2	       200
793       	     14115	      1255	         1	       200
797       	     14110	      1245	         1	       200
801       	     14123	     72735	         2	       200
805       	     14116	      1210	         1	       200
809       	     14120	      1210	         1	       200
813       	     14123	    175895	         2	       200
817       	     14118	      1215	         1	       200
821       	     14120	      1945	         1	       200
825       	     14122	    166310	         2	       200
829       	     14113	      1460	         1	       200
833       	     14110	      1160	         1	       200
837       	     14113	     72440	         2	       200
841       	     14110	      1180	         1	       200
845       	     14111	      1175	         1	       200
849       	     14124	    183075	         2	       200
853       	     14112	      1300	         1	       200
857       	     14110	      1250	         1	       200
861       	     14115	    102535	         2	       200
865       	     14110	      1240	         1	       200
869       	     14110	      1180	         1	       200
873       	     14115	    178310	         2	       200
877       	     14110	      1845	         1	       200
881       	     14111	      1150	         1	       200
885       	     14124	    123245	         2	       200
889       	     14110	      1170	         1	       200
893       	     14110	      1265	         1	       200
897       	     14128	    190640	         2	       200
901       	     14118	      1220	         1	       200
905       	     14120	      1230	         1	       200
909       	     14126	     98555	         2	       200
913       	     14111	      1345	         1	       200
917       	     14111	      1200	         1	       200
921       	     14123	    130375	         2	       200
925       	     14110	      1195	         1	       200
929       	     14118	     66745	         2	       200
933       	     14122	      1310	         1	       200
937       	     14110	      1285	         1	       200
941       	     14119	    181425	         2	       200
945       	     14121	      1215	         1	       200
949       	     14110	      1200	         1	       200
953       	     14120	    197350	         2	       200
957       	     14122	      1295	         1	       200
961       	     14110	      1315	         1	       200
965       	     14121	    124945	         2	       200
969       	     14123	      1250	         1	       200
973       	     14110	      1215	         1	       200
977       	     14121	    190285	         2	       200
981       	     14120	      1245	         1	       200
985       	     14111	      1305	         1	       200
989       	     14118	    117120	         2	       200
993       	     14117	      1295	         1	       200
997       	     14118	      1305	         1	       200
1001      	     14129	    275575	         2	       200
1005      	     14123	      1305	         1	       200
1009      	     14111	      1395	         1	       200
1013      	     14114	    111690	         2	       200
1017      	     14111	      1295	         1	       200
1021      	     14111	      1255	         1	       200
1025      	     14120	    144230	         2	       200
1029      	     14116	      1360	         1	       200
1033      	     14110	      1245	         1	       200
1037      	     14121	    198975	         2	       200
1041      	     14112	      1255	         1	       200
1045      	     14111	      1260	         1	       200
1049      	     14114	    137295	         2	       200
1053      	     14111	      1260	         1	       200
1057      	     14111	      1300	         1	       200
1061      	     14120	    258725	         2	       200
1065      	     14112	      1255	         1	       200
1069      	     14111	      1225	         1	       200
1073      	     14118	    136740	         2	       200
1077      	     14110	      1215	         1	       200
1081      	     14112	      1280	         1	       200
1085      	     14125	    204445	         2	       200
1089      	     14118	      1290	         1	       200
1093      	     14111	      1330	         1	       200
1097      	     14119	     96440	         2	       200
1101      	     14111	      1335	         1	       200
1105      	     14118	      1230	         1	       200
1109      	     14119	     57725	         2	       200
1113      	     14111	      1190	         1	       200
1117      	     14111	      1190	         1	       200
1121      	     14119	    173960	         2	       200
1125      	     14111	      1185	         1	       200
1129      	     14111	      1220	         1	       200
1133      	     14118	     39710	         2	       200
1137      	     14111	      1230	         1	       200
1141      	     14112	      1250	         1	       200
1145      	     14120	    137330	         2	       200
1149      	     14111	      1290	         1	       200
1153      	     14111	      1300	         1	       200
1157      	     14113	     43730	         2	       200
1161      	     14111	      1260	         1	       200
1165      	     14111	      1325	         1	       200
1169      	     14118	    122160	         2	       200
1173      	     14111	      1305	         1	       200
